 Sequence ID, Probability of presequence, Prediction,Cleavage_site, Net charge, Positions for TOM20 recognition motif (deliminated by comma), Position of amphypathic alpha-helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,
 NP_904328 GeneID:17716 ND1,0, No mitochondrial presequence," 63(MPP), 71(Oct1)",0.063, 52-56, 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904329 GeneID:17717 ND2,0, No mitochondrial presequence, 52(MPP),0.038, 56-60, 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904330 GeneID:17708 COX1,0.022, No mitochondrial presequence, 39(MPP),0.051, 3-7, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, 2-7, -, -, 
 NP_904331 GeneID:17709 COX2,0, No mitochondrial presequence, 83(MPP),-0.06, , 9-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904332 GeneID:17706 ATP8,0, No mitochondrial presequence," 34(MPP), 35(Icp55*)",0, 55-59, 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904333 GeneID:17705 ATP6,0.018, No mitochondrial presequence, 37(MPP),0.027," 45-49,49-53", 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904334 GeneID:17710 COX3,0, No mitochondrial presequence, 81(MPP),0.025, 7-11, 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904335 GeneID:17718 ND3,0.004, No mitochondrial presequence, 49(MPP),-0.02, , 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904336 GeneID:17720 ND4L,0.004, No mitochondrial presequence, 24(MPP),0.042, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904337 GeneID:17719 ND4,0.009, No mitochondrial presequence, 26(MPP),0.115," 1-5,91-95", 16-27-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904338 GeneID:17721 ND5,0.003, No mitochondrial presequence, 22(MPP),0, , 15-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904339 GeneID:17722 ND6,0, No mitochondrial presequence," 68(MPP), 69(Icp55*)",0.015, , 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904340 GeneID:17711 CYTB,0.035, No mitochondrial presequence, 81(MPP),0.025," 10-14,66-70,78-82", 8-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_663356 GeneID:212442 Lactb2,0.235, No mitochondrial presequence, 43(MPP),0.093, 15-19, 8-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_780445 GeneID:76187 Adhfe1,0.298, No mitochondrial presequence, 15(MPP),0.2, 9-13, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
