id, sequence_id,probability_of_presequence, prediction,cleavage_site, net_charge, position_tom_20_motif, position_amphypathic_alpha_helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,unnamed
0, NP_904328 GeneID:17716 ND1,0, No mitochondrial presequence, 63(MPP),0.063, 52-56, 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
0, NP_904328 GeneID:17716 ND1,0, No mitochondrial presequence, 71(Oct1),0.063, 52-56, 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
1, NP_904329 GeneID:17717 ND2,0, No mitochondrial presequence, 52(MPP),0.038, 56-60, 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
2, NP_904330 GeneID:17708 COX1,0.022, No mitochondrial presequence, 39(MPP),0.051, 3-7, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, 2-7, -, -, 
3, NP_904331 GeneID:17709 COX2,0, No mitochondrial presequence, 83(MPP),-0.06, , 9-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
4, NP_904332 GeneID:17706 ATP8,0, No mitochondrial presequence, 34(MPP),0, 55-59, 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
4, NP_904332 GeneID:17706 ATP8,0, No mitochondrial presequence, 35(Icp55*),0, 55-59, 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
5, NP_904333 GeneID:17705 ATP6,0.018, No mitochondrial presequence, 37(MPP),0.027," 45-49,49-53", 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
6, NP_904334 GeneID:17710 COX3,0, No mitochondrial presequence, 81(MPP),0.025, 7-11, 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
7, NP_904335 GeneID:17718 ND3,0.004, No mitochondrial presequence, 49(MPP),-0.02, , 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
8, NP_904336 GeneID:17720 ND4L,0.004, No mitochondrial presequence, 24(MPP),0.042, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
9, NP_904337 GeneID:17719 ND4,0.009, No mitochondrial presequence, 26(MPP),0.115," 1-5,91-95", 16-27-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
10, NP_904338 GeneID:17721 ND5,0.003, No mitochondrial presequence, 22(MPP),0, , 15-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
11, NP_904339 GeneID:17722 ND6,0, No mitochondrial presequence, 68(MPP),0.015, , 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
