id, sequence_id,probability_of_presequence, prediction,cleavage_site, net_charge, position_tom_20_motif, position_amphypathic_alpha_helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,unnamed
0, YP_003024037 GeneID:4541 ND6,0, No mitochondrial presequence, 68(MPP),0.015, , 19-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
0, YP_003024037 GeneID:4541 ND6,0, No mitochondrial presequence, 69(Icp55*),0.015, , 19-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
1, YP_003024036 GeneID:4540 ND5,0.006, No mitochondrial presequence, 11(MPP),0, 32-36, 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
1, YP_003024036 GeneID:4540 ND5,0.006, No mitochondrial presequence, 12(Icp55*),0, 32-36, 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
2, YP_003024034 GeneID:4539 ND4L,0.008, No mitochondrial presequence, 24(MPP),0.042, , 5-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
3, YP_003024035 GeneID:4538 ND4,0.061, No mitochondrial presequence, 83(MPP),0.036, 1-5, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
3, YP_003024035 GeneID:4538 ND4,0.061, No mitochondrial presequence, 84(Icp55*),0.036, 1-5, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
4, YP_003024033 GeneID:4537 ND3,0.004, No mitochondrial presequence, 49(MPP),-0.02, , 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
5, YP_003024027 GeneID:4536 ND2,0, No mitochondrial presequence, 52(MPP),0.038, 56-60, 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
6, YP_003024026 GeneID:4535 ND1,0, No mitochondrial presequence, 35(MPP),0.086, 52-56, 3-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
7, YP_003024038 GeneID:4519 CYTB,0.015, No mitochondrial presequence, 81(MPP),0.025," 10-14,78-82", 8-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
8, YP_003024032 GeneID:4514 COX3,0.015, No mitochondrial presequence, 60(MPP),0.017, 7-11, 17-26-low, -, -, 8-13, -, 7-12, -, -, -, -, -, -, -, -, -, 
9, YP_003024029 GeneID:4513 COX2,0, No mitochondrial presequence, 83(MPP),-0.06, 1-5, 9-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
10, YP_003024028 GeneID:4512 COX1,0.004, No mitochondrial presequence, 39(MPP),0.026, 3-7, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
