Sequence ID,name,length,exp number of AAs in TMHs,exp number of AAs in TMHs in the first 60 AAs,predicted number of TMH,topology,Probability of presequence,Prediction,Cleavage site (processing enzyme),Net charge,Positions for TOM20 recognition motif (deliminated by comma),Position of amphypathic alpha-helix,BHHPPP,BPHBHH,HBHHBb,HBHHbB,HHBHHB,HHBPHB,HHBPHH,HHBPHP,HHHBBH,HHHBPH,HHHHBB,HHPBHH,HPBHHP,PHHBPH
YP_008320363.1,toxin 1 [Paenibacillus phage phiIBB_Pl23],975,20.58,20.56,1,i12-34o,0.265,No mitochondrial presequence,51(MPP),0.078,,1-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008318504.1,transposase [Shigella phage SfII],396,21.60,0.72,1,i315-334o,0.722,Possessing mitochondrial presequence,23(MPP),0.174,"3-7,61-65",3-12-high,-,-,-,-,-,-,10-15,-,-,-,-,-,-,9-14
YP_008318507.1,putative flipase [Shigella phage SfII],120,81.89,40.64,4,i12-31o35-54i67-84o94-116i,0.180,No mitochondrial presequence,67(MPP),0.075,"1-5,17-21,64-68",12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006908353.1,hypothetical protein BCB4_0124 [Bacillus phage B4],110,17.60,17.60,1,o10-28i,0.120,No mitochondrial presequence,41(MPP),0.122,,3-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006908430.1,band 7 protein [Bacillus phage B4],270,22.27,22.27,1,i13-35o,0.107,No mitochondrial presequence,49(MPP),0.082,10-14,9-18-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008378252.1,p74 [Hemileuca sp. nucleopolyhedrovirus],669,66.09,0.00,2,i444-466o626-648i,0.291,No mitochondrial presequence,15(MPP),0.000,"12-16,32-36",19-28-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008378311.1,ac108 [Hemileuca sp. nucleopolyhedrovirus],100,23.02,12.39,1,i49-71o,0.277,No mitochondrial presequence,15(MPP),0.333,,4-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008378326.1,hypothetical protein Hesp110 [Hemileuca sp. nucleopolyhedrovirus],50,19.34,19.34,1,o20-38i,0.142,No mitochondrial presequence,41(MPP),0.049,"8-12,30-34",3-12-high,-,-,-,-,-,-,-,-,6-11,-,5-10,-,-,-
YP_008378341.1,ac18 [Hemileuca sp. nucleopolyhedrovirus],473,16.43,0.00,1,o404-423i,0.107,No mitochondrial presequence,45(MPP),0.000,,20-30-high,-,-,-,-,-,-,-,-,-,25-30,-,-,-,-
YP_007348280.1,hypothetical protein STSV2_36 [Sulfolobus virus STSV2],119,45.75,16.96,2,i44-66o93-115i,0.466,Possessing mitochondrial presequence,23(MPP),0.217,"20-24,40-44",16-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007348319.1,hypothetical protein STSV2_75 [Sulfolobus virus STSV2],272,17.14,0.02,1,i243-265o,0.693,Possessing mitochondrial presequence,29(MPP),0.103,"26-30,90-94",13-22-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006990408.1,hypothetical protein JL1_22 [Escherichia virus JL1],80,23.19,23.19,1,o5-27i,0.102,No mitochondrial presequence,35(MPP),0.057,"1-5,19-23",18-27-high,-,-,20-25,-,19-24,-,-,-,-,-,-,-,-,-
YP_401713.1,glycoprotein gp110 precursor [Human gammaherpesvirus 4],857,28.32,1.77,1,o733-752i,0.643,Possessing mitochondrial presequence,42(MPP),0.095,,12-21-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006590070.1,M polyprotein [Aino virus],1404,126.71,0.00,6,i212-229o234-253i315-337o373-395i445-464o1357-1379i,0.412,Possessing mitochondrial presequence,"29(MPP), 30(Icp55*)",0.138,"2-6,73-77,76-80",10-19-high,-,-,-,-,-,11-16,-,-,-,10-15,-,-,-,-
YP_006590081.1,M polyprotein [Shamonda orthobunyavirus],1403,131.68,2.85,6,i209-231o235-257i318-340o360-382i449-466o1360-1382i,0.625,Possessing mitochondrial presequence,"30(MPP), 31(Icp55*)",0.133,"4-8,79-83",6-15-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008050892.1,DnaB-like helicase [Streptomyces phage Lika],251,19.34,19.33,1,i13-35o,0.102,No mitochondrial presequence,41(MPP),0.049,,21-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008051438.1,DnaB-like helicase [Streptomyces phage Sujidade],251,19.34,19.33,1,i13-35o,0.102,No mitochondrial presequence,41(MPP),0.049,,21-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008060261.1,hypothetical protein ZEMYLA_28 [Streptomyces phage Zemlya],89,18.06,17.70,1,i31-48o,0.556,Possessing mitochondrial presequence,25(MPP),0.160,,17-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008060307.1,hypothetical protein ZEMYLA_74 [Streptomyces phage Zemlya],158,16.33,16.31,1,i20-38o,0.178,No mitochondrial presequence,24(MPP),0.208,"17-21,21-25",16-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008766891.1,putative flippase [Shigella phage SfIV],120,82.07,40.64,4,i12-31o35-54i67-84o94-116i,0.141,No mitochondrial presequence,67(MPP),0.075,"1-5,17-21,64-68",12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008766912.1,hypothetical protein SfIV_48 [Shigella phage SfIV],108,62.00,40.26,3,i7-23o33-55i85-107o,0.138,No mitochondrial presequence,"10(MPP), 11(Icp55*)",0.200,"3-7,7-11",3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
