 Sequence ID, Probability of presequence, Prediction,Cleavage_site, Net charge, Positions for TOM20 recognition motif (deliminated by comma), Position of amphypathic alpha-helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,
 YP_003024037 GeneID:4541 ND6,0, No mitochondrial presequence," 68(MPP), 69(Icp55*)",0.015, , 19-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 YP_003024036 GeneID:4540 ND5,0.006, No mitochondrial presequence," 11(MPP), 12(Icp55*)",0, 32-36, 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 YP_003024034 GeneID:4539 ND4L,0.008, No mitochondrial presequence, 24(MPP),0.042, , 5-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 YP_003024035 GeneID:4538 ND4,0.061, No mitochondrial presequence," 83(MPP), 84(Icp55*)",0.036, 1-5, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 YP_003024033 GeneID:4537 ND3,0.004, No mitochondrial presequence, 49(MPP),-0.02, , 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 YP_003024027 GeneID:4536 ND2,0, No mitochondrial presequence, 52(MPP),0.038, 56-60, 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 YP_003024026 GeneID:4535 ND1,0, No mitochondrial presequence, 35(MPP),0.086, 52-56, 3-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 YP_003024038 GeneID:4519 CYTB,0.015, No mitochondrial presequence, 81(MPP),0.025," 10-14,78-82", 8-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 YP_003024032 GeneID:4514 COX3,0.015, No mitochondrial presequence, 60(MPP),0.017, 7-11, 17-26-low, -, -, 8-13, -, 7-12, -, -, -, -, -, -, -, -, -, 
 YP_003024029 GeneID:4513 COX2,0, No mitochondrial presequence, 83(MPP),-0.06, 1-5, 9-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 YP_003024028 GeneID:4512 COX1,0.004, No mitochondrial presequence, 39(MPP),0.026, 3-7, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 YP_003024030 GeneID:4509 ATP8,0.006, No mitochondrial presequence, 22(MPP),0, 55-59, 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 YP_003024031 GeneID:4508 ATP6,0, No mitochondrial presequence, 42(MPP),0.024, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_039234 GeneID:25932 CLIC4,0, No mitochondrial presequence, 41(MPP),-0.073, , 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001909 GeneID:1629 DBT,0.989, Possessing mitochondrial presequence, 22(MPP),0.227," 3-7,14-18,19-23", 6-18-high, -, -, -, -, 3-8, -, -, 6-11, -, -, -, -, -, -, 
 NP_115785 GeneID:65018 PINK1,0.996, Possessing mitochondrial presequence," 69(MPP), 77(Oct1)",0.159," 13-17,86-90,96-100", 3-12-high, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
 NP_002970 GeneID:6342 SCP2,0.017, No mitochondrial presequence, 14(MPP),0.071," 11-15,21-25", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001180528 GeneID:6342 SCP2,0.012, No mitochondrial presequence, 14(MPP),0.071," 11-15,21-25", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001180529 GeneID:6342 SCP2,0.018, No mitochondrial presequence, 14(MPP),0.071," 11-15,21-25", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001180546 GeneID:6342 SCP2,0.067, No mitochondrial presequence, 25(MPP),0.04, , 21-30-low, -, -, -, -, -, -, 22-27, -, -, 21-26, -, -, -, -, 
 NP_001127917 GeneID:23576 DDAH1,0, No mitochondrial presequence, 43(MPP),-0.047," 91-95,94-98", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060370 GeneID:54998 AURKAIP1,0.903, Possessing mitochondrial presequence, 48(MPP),0.104, 10-14, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_863654 GeneID:11332 ACOT7,0.981, Possessing mitochondrial presequence, 22(MPP),0.227," 4-8,7-11,76-80", 10-19-low, -, -, -, -, 4-9, -, -, -, -, -, -, -, -, -, 
 NP_009205 GeneID:11332 ACOT7,0, No mitochondrial presequence, 81(MPP),-0.025," 46-50,66-70", 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_055889 GeneID:23095 KIF1B,0.023, No mitochondrial presequence, 73(MPP),0.055, 82-86, 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_904325 GeneID:23095 KIF1B,0.022, No mitochondrial presequence, 73(MPP),0.055, 82-86, 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_055689 GeneID:9927 MFN2,0.088, No mitochondrial presequence, 20(MPP),0.25, 29-33, 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001121132 GeneID:9927 MFN2,0.088, No mitochondrial presequence, 20(MPP),0.25, 29-33, 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
