"name","length","exp number of AAs in TMHs","exp number of AAs in TMHs in the first 60 AAs","predicted number of TMH","topology"
"YP_003620396.1","1220","0.04","0.01","0","o"
"YP_003620397.1","915","4.42","0.65","0","o"
"YP_003620398.1","359","5.42","0.79","0","o"
"YP_003620399.1","754","1.10","0.00","0","o"
"YP_003620400.1","690","0.00","0.00","0","o"
"YP_003620401.1","1881","3.09","0.00","0","o"
"YP_003620402.1","188","6.38","0.01","0","o"
"YP_003622540.1","2964","40.94","0.00","0","o"
"YP_003622548.1","122","0.01","0.01","0","o"
"YP_003622549.1","257","1.63","1.46","0","o"
"YP_003622552.1","349","0.00","0.00","0","o"
"YP_003622551.1","145","0.00","0.00","0","o"
"YP_003622550.1","134","15.86","0.00","0","o"
"YP_003622553.1","85","0.00","0.00","0","o"
"YP_003622555.1","253","0.17","0.00","0","o"
"YP_003622559.1","362","0.01","0.00","0","o"
"YP_003622558.1","138","0.09","0.09","0","o"
"YP_003622557.1","137","0.35","0.15","0","o"
"YP_003622560.1","97","0.00","0.00","0","o"
"YP_003622554.1","106","0.01","0.01","0","o"
"YP_003622556.1","84","29.22","25.86","2","i12-30o45-67i"
"YP_003622561.1","261","0.11","0.00","0","o"
"YP_003622562.1","363","0.04","0.04","0","o"
"YP_003714728.1","125","0.00","0.00","0","o"
"YP_003714729.1","536","0.22","0.00","0","o"
"YP_003714730.1","495","0.00","0.00","0","o"
"YP_003714731.1","214","0.01","0.00","0","o"
"YP_003714732.1","89","0.00","0.00","0","i"
"YP_003714733.1","225","0.00","0.00","0","o"
"YP_003714734.1","291","0.12","0.02","0","o"
"YP_003714735.1","60","0.00","0.00","0","o"
"YP_003714736.1","198","0.00","0.00","0","o"
"YP_003714737.1","89","0.00","0.00","0","o"
"YP_003714738.1","107","0.48","0.12","0","o"
"YP_003714739.1","122","0.00","0.00","0","o"
"YP_003714740.1","145","0.18","0.18","0","o"
"YP_003714741.1","140","0.01","0.01","0","o"
"YP_003714743.1","121","0.00","0.00","0","o"
"YP_003714742.1","239","0.00","0.00","0","o"
"YP_003714744.1","640","187.51","0.02","7","o255-277i284-306o310-332i339-361o365-387i392-414o439-461i"
"YP_003714745.1","1051","0.02","0.00","0","o"
"YP_003714746.1","528","2.99","1.91","0","o"
"YP_003714747.1","278","0.02","0.00","0","o"
"YP_003714748.1","79","22.01","5.63","1","i55-77o"
"YP_003714749.1","62","1.98","1.98","0","o"
"YP_003714750.1","182","0.00","0.00","0","o"
"YP_003714751.1","285","0.01","0.01","0","o"
"YP_003714752.1","77","0.00","0.00","0","o"
"YP_003714753.1","316","0.02","0.00","0","o"
"YP_003714754.1","110","0.01","0.00","0","o"
"YP_003714755.1","167","0.01","0.00","0","o"
"YP_003714756.1","235","0.00","0.00","0","o"
"YP_003714757.1","57","0.01","0.01","0","i"
"YP_003714758.1","204","0.03","0.02","0","o"
"YP_003714759.1","64","0.00","0.00","0","o"
"YP_003714760.1","154","0.48","0.00","0","o"
"YP_003714761.1","834","0.05","0.01","0","o"
"YP_003714762.1","618","0.00","0.00","0","o"
"YP_003714763.1","440","0.09","0.00","0","o"
"YP_003714764.1","136","0.01","0.00","0","o"
"YP_003714765.1","256","85.69","34.68","4","i7-29o49-71i76-98o102-124i"
"YP_003714766.1","254","0.08","0.00","0","o"
"YP_003714767.1","218","0.75","0.75","0","o"
"YP_003714768.1","128","22.64","0.16","1","i95-117o"
"YP_003714769.1","76","36.11","24.44","2","o4-23i57-75o"
"YP_003714770.1","66","0.00","0.00","0","i"
"YP_003717779.1","368","0.10","0.01","0","o"
"YP_003717780.1","113","19.99","19.98","1","o34-52i"
"YP_003717781.1","124","0.00","0.00","0","o"
"YP_003717778.1","387","0.02","0.00","0","o"
"YP_003717777.1","413","33.47","0.02","0","o"
"YP_003717776.1","661","0.00","0.00","0","o"
"YP_003717775.1","674","0.00","0.00","0","o"
"YP_003717774.1","742","0.08","0.00","0","o"
"YP_003717773.1","1263","2.80","0.04","0","o"
"YP_003717772.1","1285","0.40","0.00","0","o"
"YP_003717771.1","1297","0.10","0.00","0","o"
"YP_003734151.1","740","0.01","0.00","0","o"
"YP_003734152.1","67","0.00","0.00","0","o"
"YP_003734153.1","605","0.06","0.00","0","o"
"YP_003734154.1","87","0.68","0.68","0","i"
"YP_003734155.1","58","0.00","0.00","0","o"
"YP_003734156.1","187","0.01","0.01","0","o"
"YP_003734157.1","72","0.00","0.00","0","i"
"YP_003734158.1","189","0.03","0.00","0","o"
"YP_003734159.1","187","0.01","0.00","0","o"
"YP_003734160.1","169","0.05","0.00","0","o"
"YP_003734161.1","224","0.01","0.01","0","o"
"YP_003734162.1","96","0.46","0.46","0","o"
"YP_003734163.1","445","0.16","0.00","0","o"
"YP_003734164.1","99","0.00","0.00","0","o"
"YP_003734165.1","245","0.00","0.00","0","o"
"YP_003734166.1","213","0.93","0.00","0","o"
"YP_003734167.1","194","0.00","0.00","0","o"
"YP_003734168.1","60","0.01","0.01","0","i"
"YP_003734169.1","151","0.00","0.00","0","o"
"YP_003734170.1","56","0.00","0.00","0","i"
"YP_003734171.1","66","0.00","0.00","0","o"
"YP_003734172.1","111","0.02","0.00","0","o"
"YP_003734173.1","101","0.36","0.35","0","o"
"YP_003734174.1","78","0.03","0.03","0","o"
"YP_003734175.1","178","0.52","0.00","0","o"
"YP_003734176.1","218","0.00","0.00","0","o"
"YP_003734177.1","343","0.06","0.00","0","o"
"YP_003734178.1","53","0.06","0.06","0","o"
"YP_003734179.1","63","0.01","0.01","0","o"
"YP_003734180.1","77","0.00","0.00","0","o"
"YP_003734181.1","146","0.01","0.00","0","o"
"YP_003734182.1","118","10.49","10.46","0","o"
"YP_003734183.1","79","0.00","0.00","0","o"
"YP_003734184.1","64","0.00","0.00","0","o"
"YP_003734185.1","111","0.01","0.00","0","o"
"YP_003734186.1","479","0.01","0.00","0","o"
"YP_003734187.1","111","0.41","0.35","0","o"
"YP_003734188.1","394","5.66","4.31","0","o"
"YP_003734189.1","300","0.01","0.00","0","o"
"YP_003734190.1","232","0.47","0.00","0","o"
"YP_003734191.1","181","0.00","0.00","0","o"
"YP_003734192.1","132","0.01","0.00","0","o"
"YP_003734193.1","568","0.50","0.01","0","o"
"YP_003734194.1","166","0.04","0.04","0","o"
"YP_003734195.1","99","47.05","24.33","2","i30-52o62-84i"
"YP_003734196.1","923","0.37","0.00","0","o"
"YP_003734197.1","105","0.51","0.51","0","o"
"YP_003734198.1","122","0.00","0.00","0","o"
"YP_003734199.1","214","0.00","0.00","0","o"
"YP_003734200.1","321","0.04","0.01","0","o"
"YP_003734201.1","233","0.01","0.01","0","o"
"YP_003734202.1","152","0.00","0.00","0","o"
"YP_003734203.1","68","0.00","0.00","0","o"
"YP_003734204.1","560","1.64","0.05","0","o"
"YP_003734205.1","82","0.00","0.00","0","o"
"YP_003734206.1","87","0.00","0.00","0","o"
"YP_003734207.1","367","0.00","0.00","0","o"
"YP_003734208.1","57","0.00","0.00","0","o"
"YP_003734209.1","66","0.01","0.01","0","o"
"YP_003734210.1","105","0.00","0.00","0","o"
"YP_003734211.1","185","0.17","0.11","0","o"
"YP_003734212.1","90","1.03","1.03","0","o"
"YP_003734213.1","88","0.00","0.00","0","o"
"YP_003734214.1","133","0.00","0.00","0","o"
"YP_003734215.1","66","4.15","4.10","0","o"
"YP_003734216.1","74","0.11","0.11","0","o"
"YP_003734217.1","104","0.00","0.00","0","i"
"YP_003734218.1","85","0.00","0.00","0","o"
"YP_003734219.1","69","0.00","0.00","0","o"
"YP_003734220.1","105","2.82","2.80","0","o"
"YP_003734221.1","98","0.01","0.01","0","o"
"YP_003734222.1","75","23.28","23.28","1","i21-43o"
"YP_003734223.1","158","0.00","0.00","0","o"
"YP_003734224.1","59","0.28","0.28","0","i"
"YP_003734225.1","72","0.00","0.00","0","o"
"YP_003734226.1","107","0.00","0.00","0","o"
"YP_003734227.1","81","0.95","0.95","0","o"
"YP_003734228.1","87","0.01","0.00","0","o"
"YP_003734229.1","116","17.80","17.80","1","o15-34i"
"YP_003734230.1","103","0.00","0.00","0","o"
"YP_003734231.1","337","8.61","8.61","0","o"
"YP_003734232.1","297","0.04","0.01","0","o"
"YP_003734233.1","282","0.00","0.00","0","o"
"YP_003734234.1","178","0.02","0.01","0","o"
"YP_003734235.1","114","0.00","0.00","0","o"
"YP_003734236.1","355","0.08","0.00","0","o"
"YP_003734237.1","346","0.00","0.00","0","o"
"YP_003734238.1","151","47.35","23.06","2","i38-60o75-97i"
"YP_003734239.1","186","0.00","0.00","0","o"
"YP_003734240.1","90","0.19","0.19","0","o"
"YP_003734241.1","61","0.00","0.00","0","i"
"YP_003734242.1","86","0.00","0.00","0","o"
"YP_003734243.1","127","0.31","0.31","0","o"
"YP_003734244.1","99","4.95","4.95","0","o"
"YP_003734245.1","92","18.89","18.86","1","i7-24o"
"YP_003734246.1","190","0.05","0.05","0","o"
"YP_003734247.1","69","0.00","0.00","0","o"
"YP_003734248.1","71","0.00","0.00","0","o"
"YP_003734249.1","155","0.04","0.03","0","o"
"YP_003734250.1","118","0.03","0.03","0","o"
"YP_003734251.1","179","0.02","0.01","0","o"
